city,district,full_address,register_date,register_type,raw_data
臺北市,信義區,臺北市信義區富台里019鄰松信路１６５號七樓,民國114年10月9日,門牌初編,臺北市信義區富台里019鄰松信路１６５號七樓|民國114年10月9日|門牌初編
臺北市,信義區,臺北市信義區富台里019鄰松信路１６５號九樓,民國114年10月9日,門牌初編,臺北市信義區富台里019鄰松信路１６５號九樓|民國114年10月9日|門牌初編
臺北市,信義區,臺北市信義區富台里019鄰松信路１６５號八樓,民國114年10月9日,門牌初編,臺北市信義區富台里019鄰松信路１６５號八樓|民國114年10月9日|門牌初編
臺北市,信義區,臺北市信義區富台里019鄰松信路１６５號十一樓,民國114年10月9日,門牌初編,臺北市信義區富台里019鄰松信路１６５號十一樓|民國114年10月9日|門牌初編
臺北市,信義區,臺北市信義區富台里019鄰松信路１６５號十二樓,民國114年10月9日,門牌初編,臺北市信義區富台里019鄰松信路１６５號十二樓|民國114年10月9日|門牌初編
臺北市,信義區,臺北市信義區富台里019鄰松信路１６５號十三樓,民國114年10月9日,門牌初編,臺北市信義區富台里019鄰松信路１６５號十三樓|民國114年10月9日|門牌初編
臺北市,信義區,臺北市信義區富台里019鄰松信路１６５號十四樓,民國114年10月9日,門牌初編,臺北市信義區富台里019鄰松信路１６５號十四樓|民國114年10月9日|門牌初編
臺北市,信義區,臺北市信義區富台里019鄰松信路１６５號十樓,民國114年10月9日,門牌初編,臺北市信義區富台里019鄰松信路１６５號十樓|民國114年10月9日|門牌初編
臺北市,信義區,臺北市信義區富台里019鄰松信路１６５號五樓,民國114年10月9日,門牌初編,臺北市信義區富台里019鄰松信路１６５號五樓|民國114年10月9日|門牌初編
臺北市,信義區,臺北市信義區富台里019鄰松信路１６５號六樓,民國114年10月9日,門牌初編,臺北市信義區富台里019鄰松信路１６５號六樓|民國114年10月9日|門牌初編
臺北市,信義區,臺北市信義區富台里019鄰松信路１６７號七樓,民國114年10月9日,門牌初編,臺北市信義區富台里019鄰松信路１６７號七樓|民國114年10月9日|門牌初編
臺北市,信義區,臺北市信義區富台里019鄰松信路１６７號九樓,民國114年10月9日,門牌初編,臺北市信義區富台里019鄰松信路１６７號九樓|民國114年10月9日|門牌初編
臺北市,信義區,臺北市信義區富台里019鄰松信路１６７號八樓,民國114年10月9日,門牌初編,臺北市信義區富台里019鄰松信路１６７號八樓|民國114年10月9日|門牌初編
臺北市,信義區,臺北市信義區富台里019鄰松信路１６７號十一樓,民國114年10月9日,門牌初編,臺北市信義區富台里019鄰松信路１６７號十一樓|民國114年10月9日|門牌初編
